video_id,url,title,channel_name,published_at,view_count,persons_found,total_persons
503kxoS79zc,https://youtu.be/503kxoS79zc,Jeweler Breaks Down The Most Expensive Celebrity Watches | GQ,GQ,2023-11-30T17:00:02Z,596869,"Ed Sheeran,Lionel Messi,Tom Brady,Travis Scott",4
kl4qvHqr0RY,https://youtu.be/kl4qvHqr0RY,Robert De Niro Breaks Down His Most Iconic Characters | GQ,GQ,2025-02-25T17:00:15Z,921808,"Martin Scorsese,Robert De Niro",2
k9srEazFVbE,https://youtu.be/k9srEazFVbE,Ed Sheeran Tells The Stories Behind His Tattoos,GQ,2024-10-30T16:00:04Z,1516089,"Ed Sheeran,Harry Styles",2
G-TZphZQ3P8,https://youtu.be/G-TZphZQ3P8,Brad Pitt & George Clooney's GQ Cover Shoot | Behind The Scenes,GQ,2024-08-13T12:00:01Z,571763,"Brad Pitt,George Clooney",2
b-_AatwZ3lI,https://youtu.be/b-_AatwZ3lI,Hugh Jackman Loves To Troll Ryan Reynolds,GQ,2024-08-07T21:00:02Z,296583,"Hugh Jackman,Ryan Reynolds",2
4BXM4QW-7sE,https://youtu.be/4BXM4QW-7sE,"The Evolution of Wolverine, As Told by Ryan Reynolds",GQ,2024-08-06T16:00:10Z,1549473,"Hugh Jackman,Ryan Reynolds",2
nEP-_Ogi1bA,https://youtu.be/nEP-_Ogi1bA,Ryan Reynolds & Hugh Jackman Take a Friendship Quiz | GQ,GQ,2024-07-25T18:53:57Z,1605868,"Hugh Jackman,Ryan Reynolds",2
0k-6X2H7pCo,https://youtu.be/0k-6X2H7pCo,Harrison Ford Reflects on Indiana Jones' Legacy | GQ,GQ,2023-07-10T16:00:09Z,881323,"Harrison Ford,Steven Spielberg",2
_gcEyLIkd4o,https://youtu.be/_gcEyLIkd4o,Travis Scott Has Zero Clue How Many Tattoos Kylie Jenner Has #CouplesQuiz #GQ,GQ,2023-02-14T17:00:10Z,122565,"Kylie Jenner,Travis Scott",2
gv8LLEmMu-M,https://youtu.be/gv8LLEmMu-M,Making Ben Affleck Talk About Every Film He's Ever Done | GQ,GQ,2025-04-17T16:00:08Z,256977,Ben Affleck,1
EinsjYApRoA,https://youtu.be/EinsjYApRoA,Jesse Eisenberg Recalls Being in Awe of Kristen Stewart,GQ,2024-12-10T17:00:13Z,108759,Mark Zuckerberg,1
ETz7RhlVXnE,https://youtu.be/ETz7RhlVXnE,Jesse Eisenberg Breaks Down His Most Iconic Characters,GQ,2024-12-04T17:00:08Z,537638,Mark Zuckerberg,1
gUGSXsX8Bjo,https://youtu.be/gUGSXsX8Bjo,Will Smith & Martin Lawrence Take a Friendship Quiz | GQ,GQ,2024-06-07T16:00:03Z,1077014,Will Smith,1
m8vG9v8x8-w,https://youtu.be/m8vG9v8x8-w,Kevin Costner Breaks Down His Most Iconic Characters | GQ,GQ,2024-05-20T16:00:07Z,1138258,Kevin Costner,1
BDtTm_BzmpY,https://youtu.be/BDtTm_BzmpY,Ryan Gosling & His Stuntman Break Down 'The Fall Guy' Biggest Stunts with Director David Leitch | GQ,GQ,2024-04-29T16:00:02Z,231337,Ryan Gosling,1
1iUEUe4ecAc,https://youtu.be/1iUEUe4ecAc,Bill Burr Replies to Fans Online | Actually Me | GQ,GQ,2024-04-19T16:00:02Z,667472,Donald Trump,1
7iK_vQ_Q7q0,https://youtu.be/7iK_vQ_Q7q0,Travis Scott interviews himself on the #GQMOTY red carpet,GQ,2023-11-21T19:00:02Z,265291,Travis Scott,1
LxT_cqokriQ,https://youtu.be/LxT_cqokriQ,10 Things Travis Scott Can't Live Without | GQ,GQ,2023-11-15T17:00:16Z,3931874,Travis Scott,1
rjrei1R58pw,https://youtu.be/rjrei1R58pw,Kim Kardashian Replies to Fans on the Internet | Actually Me | GQ,GQ,2023-11-14T17:00:04Z,519000,Kim Kardashian,1
IdWIXbW3qJg,https://youtu.be/IdWIXbW3qJg,10 Things Chris Stapleton Can't Live Without | GQ,GQ,2023-10-31T16:00:09Z,741563,Chris Stapleton,1
sB_JZLp521g,https://youtu.be/sB_JZLp521g,Timothée Chalamet & Martin Scorsese Have an Epic Conversation | GQ,GQ,2023-10-17T16:00:03Z,1809771,Martin Scorsese,1
S4dF9YxINpI,https://youtu.be/S4dF9YxINpI,10 Things Ed Sheeran Can't Live Without | GQ,GQ,2023-10-13T16:00:09Z,1470264,Ed Sheeran,1
AnWw7wNyljM,https://youtu.be/AnWw7wNyljM,Olivia Rodrigo was early to the Stanley cup craze,GQ,2023-09-25T19:00:01Z,379432,Olivia Rodrigo,1
